fullName;oldName;abbName;benthivorous;ichtyvorous;planktivorous;demersal;pelagic;reproduction;fecMean;offspring;ML;shape;salinityRange;tempRange;depthRange;eggSize;fecundity;maxBodySize;longevity;ageMaturity;lengthMaturity;developRate;resourceDetritus;resourceZoo;resourceBenth;resourceFish;predatorZoo;predatorBenthic;predatorFish;predatorBirds;predatorMammals;omnivory;trophLevel;omnivLevel;Habitat;Biogeographic affiliation;Diet
Amblyraja hyperborea;Amblyraja hyperborea;Amb_hyp;5;5;0;10;0;dem;30;3;89.00;flat;1;2;3;102.5;30;89.00;24.00;11.00;45.00;4.09;0;4;4;21;0;0;1;0;0;0.411599584;4.590199;3.66E-01;1;1;4
Amblyraja radiata;Amblyraja radiata;Amb_rad;5;5;0;10;0;dem;26.5;3;68.70;flat;3;3;3;55;27;68.70;16.00;11.00;35.00;3.18;0;8;18;34;0;0;2;0;0;0.484348482;4.30024;4.79E-01;1;3;4
Anarhichas denticulatus;Anarhichas denticulatus;Ana_den;3.333;3.333;3.333;10;0;dem;46500;2;162.00;elongated;2;2;3;6;46500;162.00;16.00;6.00;80.00;13.33;0;9;8;4;0;0;5;0;1;0.431134908;4.031337;3.69E-01;1;3;1
Anarhichas lupus;Anarhichas lupus;Ana_lup;10;0;0;10;0;dem;12740;2;104.00;elongated;2;3;3;6;12740;104.00;20.00;6.00;50.00;8.33;0;7;18;2;0;0;7;0;2;0.450545481;3.51905;3.22E-01;1;3;1
Anarhichas minor;Anarhichas minor;Ana_min;10;0;0;10;0;dem;19700;2;138.40;elongated;3;3;3;3.35;19700;138.40;40.00;7.00;70.00;10.00;0;7;10;4;0;0;6;0;1;0.545241073;3.80713;5.39E-01;1;3;1
Anisarchus medius;Anisarchus medius;Ani_med;10;0;0;10;0;dem;700;1;15.60;eellike;3;2;2;2;700;13.20;13.00;6.00;9.50;1.58;0;4;0;0;0;0;1;0;2;0.25;3.052083;9.84E-02;1;3;1
Argentina silus;Argentina silus;Arg_sil;0;0;10;0;10;pel;10381;2;55.00;elongated;1;3;3;3.25;10381;49.00;35.00;8.00;26.00;3.25;0;2;2;0;0;0;5;1;1;0.463360009;3.388844;1.57E-01;2;3;2
Artediellus atlanticus;Artediellus atlanticus;Art_atl;5;5;0;10;0;dem;117.5;2;9.10;elongated;3;3;3;2.25;62;14.30;10.00;3.50;5.10;1.46;0;2;3;1;0;0;4;0;1;0.47613715;4.151106;2.97E-01;1;3;1
Aspidophoroides olrikii;Aspidophoroides olrikii;Asp_olr;10;0;0;10;0;dem;180;1;8.60;elongated;3;3;1;1.125;180;8.60;4.00;2.00;6.00;3.00;0;0;3;0;0;0;1;0;0;0.288675135;3.166667;5.56E-02;1;1;1
Bathyraja spinicauda;Bathyraja spinicauda;Bat_spi;5;5;0;10;0;dem;47;3;165.00;flat;1;2;3;130;47;165.00;50.00;12.00;118.00;9.83;0;2;3;10;0;0;1;0;0;0.509173861;4.489166;5.24E-01;1;3;3
