Species name;Genus;Family;Order;Class;Superclass
Amblyraja hyperborea;Amblyraja;Rajidae;Rajiformes;Elasmobranchii;Pisces
Amblyraja radiata;Amblyraja;Rajidae;Rajiformes;Elasmobranchii;Pisces
Anarhichas denticulatus;Anarhichas;Anarhichadidae;Perciformes;Actinopterygii;Pisces
Anarhichas lupus;Anarhichas;Anarhichadidae;Perciformes;Actinopterygii;Pisces
Anarhichas minor;Anarhichas;Anarhichadidae;Perciformes;Actinopterygii;Pisces
Anisarchus medius;Anisarchus;Stichaeidae;Perciformes;Actinopterygii;Pisces
Argentina silus;Argentina;Argentinidae;Osmeriformes;Actinopterygii;Pisces
Artediellus atlanticus;Artediellus;Cottidae;Scorpaeniformes;Actinopterygii;Pisces
Aspidophoroides olrikii;Ulcina;Agonidae;Scorpaeniformes;Actinopterygii;Pisces
Bathyraja spinicauda;Bathyraja;Arhynchobatidae;Rajiformes;Elasmobranchii;Pisces
Brosme brosme;Brosme;Lotidae;Gadiformes;Actinopterygii;Pisces
Cottunculus microps;Cottunculus;Psychrolutidae;Scorpaeniformes;Actinopterygii;Pisces
Cyclopterus lumpus;Cyclopterus;Cyclopteridae;Scorpaeniformes;Actinopterygii;Pisces
Enchelyopus cimbrius;Enchelyopus;Lotidae;Gadiformes;Actinopterygii;Pisces
Eumicrotremus spinosus;Eumicrotremus;Cyclopteridae;Scorpaeniformes;Actinopterygii;Pisces
Gadiculus argenteus;Gadiculus;Gadidae;Gadiformes;Actinopterygii;Pisces
Gadus morhua;Gadus;Gadidae;Gadiformes;Actinopterygii;Pisces
Gaidropsarus argentatus;Gaidropsarus;Lotidae;Gadiformes;Actinopterygii;Pisces
Glyptocephalus cynoglossus;Glyptocephalus;Pleuronectidae;Pleuronectiformes;Actinopterygii;Pisces
Gymnocanthus tricuspis;Gymnocanthus;Cottidae;Scorpaeniformes;Actinopterygii;Pisces
Hippoglossus hippoglossus;Hippoglossus;Pleuronectidae;Pleuronectiformes;Actinopterygii;Pisces
Hippoglossoides platessoides;Hippoglossoides;Pleuronectidae;Pleuronectiformes;Actinopterygii;Pisces
Icelus;Icelus;Cottidae;Scorpaeniformes;Actinopterygii;Pisces
Leptagonus decagonus;Leptagonus;Agonidae;Scorpaeniformes;Actinopterygii;Pisces
Leptoclinus maculatus;Leptoclinus;Stichaeidae;Perciformes;Actinopterygii;Pisces
Limanda limanda;Limanda;Pleuronectidae;Pleuronectiformes;Actinopterygii;Pisces
Liparidae;Liparis;Cyclopteridae;Scorpaeniformes;Actinopterygii;Pisces
Lumpenus fabricii;Lumpenus;Stichaeidae;Perciformes;Actinopterygii;Pisces
Lumpenus lampretaeformis;Lumpenus;Stichaeidae;Perciformes;Actinopterygii;Pisces
Macrourus berglax;Macrourus;Macrouridae;Gadiformes;Actinopterygii;Pisces
Melanogrammus aeglefinus;Melanogrammus;Gadidae;Gadiformes;Actinopterygii;Pisces
Merlangius merlangus;Merlangius;Gadidae;Gadiformes;Actinopterygii;Pisces
Microstomus kitt;Microstomus;Pleuronectidae;Pleuronectiformes;Actinopterygii;Pisces
Micromesistius poutassou;Micromesistius;Gadidae;Gadiformes;Actinopterygii;Pisces
Molva molva;Molva;Lotidae;Gadiformes;Actinopterygii;Pisces
Myoxocephalus scorpius;Myoxocephalus;Cottidae;Scorpaeniformes;Actinopterygii;Pisces
Pleuronectes platessa;Pleuronectes;Pleuronectidae;Pleuronectiformes;Actinopterygii;Pisces
Pollachius virens;Pollachius;Gadidae;Gadiformes;Actinopterygii;Pisces
Rajella fyllae;Rajella;Rajidae;Rajiformes;Elasmobranchii;Pisces
Reinhardtius hippoglossoides;Reinhardtius;Pleuronectidae;Pleuronectiformes;Actinopterygii;Pisces
Sebastes mentella;Sebastes;Sebastidae;Scorpaeniformes;Actinopterygii;Pisces
Sebastes;Sebastes;Sebastidae;Scorpaeniformes;Actinopterygii;Pisces
Sebastes viviparus;Sebastes;Sebastidae;Scorpaeniformes;Actinopterygii;Pisces
Triglops murrayi;Triglops;Cottidae;Scorpaeniformes;Actinopterygii;Pisces
Triglops nybelini;Triglops;Cottidae;Scorpaeniformes;Actinopterygii;Pisces
Triglops pingelii;Triglops;Cottidae;Scorpaeniformes;Actinopterygii;Pisces
Trisopterus esmarkii;Trisopterus;Gadidae;Gadiformes;Actinopterygii;Pisces
Zoarcidae;Gymnelus;Zoarcidae;Perciformes;Actinopterygii;Pisces
